Well_ID,Date,Depth,Pressure,Temperature
W1,2009-01-01,1000,1500,100
W2,2009-01-02,1100,1600,105
W3,2009-01-03,1200,1700,110
W4,2009-01-04,1300,1800,115
W5,2009-01-05,1400,1900,120
W6,2009-01-06,1500,2000,125
W7,2009-01-07,1600,2100,130
W8,2009-01-08,1700,2200,135
W9,2009-01-09,1800,2300,140
W10,2009-01-10,1900,2400,145
W11,2009-01-11,2000,2500,150
W12,2009-01-12,2100,2600,155
W13,2009-01-13,2200,2700,160
W14,2009-01-14,2300,2800,165
W15,2009-01-15,2400,2900,170
W16,2009-01-16,2500,3000,175
W17,2009-01-17,2600,3100,180
W18,2009-01-18,2700,3200,185
W19,2009-01-19,2800,3300,190
W20,2009-01-20,2900,3400,195
